epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss,valid_mae_epoch,valid_mse_epoch
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
,3.3557692307692304e-05,3.3557692307692304e-05,349,,,
6,,,349,0.32321420311927795,,
6,,,370,,0.4831671118736267,0.36825257539749146
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
,3.836538461538462e-05,3.836538461538462e-05,399,,,
7,,,399,0.2604280710220337,,
7,,,423,,0.48670002818107605,0.37603357434272766
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
,4.3173076923076925e-05,4.3173076923076925e-05,449,,,
8,,,449,0.22233258187770844,,
8,,,476,,0.48688554763793945,0.3775062561035156
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
,4.7980769230769236e-05,4.7980769230769236e-05,499,,,
9,,,499,0.26793649792671204,,
9,,,529,,0.48638975620269775,0.3803444802761078
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
,5.278846153846154e-05,5.278846153846154e-05,549,,,
10,,,549,0.4021107256412506,,
10,,,582,,0.4744184911251068,0.35928791761398315
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
,5.759615384615384e-05,5.759615384615384e-05,599,,,
11,,,599,0.12748706340789795,,
11,,,635,,0.4660254120826721,0.3388814926147461
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
,6.240384615384616e-05,6.240384615384616e-05,649,,,
12,,,649,0.20600353181362152,,
12,,,688,,0.4616461396217346,0.3329739570617676
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
,6.721153846153846e-05,6.721153846153846e-05,699,,,
13,,,699,0.30437105894088745,,
13,,,741,,0.4614635705947876,0.33469927310943604
,7.201923076923077e-05,7.201923076923077e-05,749,,,
